objeto,change_type,api_name,label,type,detail,picklist_value_label,picklist_value_api,picklist_value_active
Party_Relationship,added,vlocity_cmt__RelationshipEndDate__c,Relationship End Date,date,"{""label"":""Relationship End Date"",""name"":""vlocity_cmt__RelationshipEndDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,vlocity_cmt__RelationshipStartDate__c,Relationship Start Date,date,"{""label"":""Relationship Start Date"",""name"":""vlocity_cmt__RelationshipStartDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,vlocity_cmt__RelationshipTypeId__c,Relationship Type,reference,"{""label"":""Relationship Type"",""name"":""vlocity_cmt__RelationshipTypeId__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[""vlocity_cmt__PartyRelationshipType__c""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,vlocity_cmt__SourcePartyId__c,Source Party Id,reference,"{""label"":""Source Party Id"",""name"":""vlocity_cmt__SourcePartyId__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[""vlocity_cmt__Party__c""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,vlocity_cmt__Strength__c,Strength,double,"{""label"":""Strength"",""name"":""vlocity_cmt__Strength__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""double"",""precision"":2,""scale"":0,""length"":0}",,,
Party_Relationship,added,vlocity_cmt__TargetPartyId__c,Target Party Id,reference,"{""label"":""Target Party Id"",""name"":""vlocity_cmt__TargetPartyId__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[""vlocity_cmt__Party__c""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,vlocity_cmt__TargetRole__c,Target Role,string,"{""label"":""Target Role"",""name"":""vlocity_cmt__TargetRole__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":150}",,,
Quote,added,pz_AddressApple__c,Manzana,string,"{""label"":""Manzana"",""name"":""pz_AddressApple__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":10}",,,
Quote,added,pz_AddressGroupName__c,Nombre Agrupación,string,"{""label"":""Nombre Agrupación"",""name"":""pz_AddressGroupName__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":100}",,,
Quote,added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""label"":""Tipo Agrupación"",""name"":""pz_AddressGroupType__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""URBANIZACIÓN"",""value"":""URBANIZACION""},{""active"":true,""label"":""UNIDAD VECINAL"",""value"":""UNIDAD VECINAL""},{""active"":true,""label"":""PUEBLO JOVEN"",""value"":""PUEBLO JOVEN""},{""active"":true,""label"":""CONJUNTO RESIDENCIAL"",""value"":""CONJUNTO RESIDENCIAL""},{""active"":true,""label"":""CONJUNTO HABITACIONAL"",""value"":""CONJUNTO HABITACIONAL""},{""active"":true,""label"":""ASENTAMIENTO HUMANO"",""value"":""ASENTAMIENTO HUMANO""},{""active"":true,""label"":""CENTRO POBLADO"",""value"":""CENTRO POBLADO""},{""active"":true,""label"":""AGRUPACION"",""value"":""AGRUPACION""},{""active"":true,""label"":""PARQUE INDUSTRIAL"",""value"":""PARQUE INDUSTRIAL""},{""active"":true,""label"":""COOPERATIVA"",""value"":""COOPERATIVA""},{""active"":true,""label"":""GALERIA"",""value"":""GALERIA""},{""active"":true,""label"":""BARRIO"",""value"":""BARRIO""},{""active"":true,""label"":""ASOCIACION"",""value"":""ASOCIACION""},{""active"":true,""label"":""AMPLIACION"",""value"":""AMPLIACION""},{""active"":true,""label"":""CIUDAD"",""value"":""CIUDAD""},{""active"":true,""label"":""COMITÉ"",""value"":""COMITÉ""},{""active"":true,""label"":""FUNDO"",""value"":""FUNDO""},{""active"":true,""label"":""HACIENDA"",""value"":""HACIENDA""},{""active"":true,""label"":""URBANIZACION POPULAR"",""value"":""URBANIZACION POPULAR""},{""active"":true,""label"":""LOTIZACION"",""value"":""LOTIZACION""},{""active"":true,""label"":""OTROS"",""value"":""OTROS""},{""active"":true,""label"":""Programa de Vivienda"",""value"":""Programa de Vivienda""},{""active"":true,""label"":""JUNTA DE PROPIETARIOS"",""value"":""JUNTA DE PROPIETARIOS""},{""active"":true,""label"":""PROGRAMA RESIDENCIAL DE VIVIENDA"",""value"":""PROGRAMA RESIDENCIAL DE VIVIENDA""},{""active"":true,""label"":""PROGRAMA RESIDENCIAL"",""value"":""PROGRAMA RESIDENCIAL""},{""active"":true,""label"":""JUNTA DE POSESIONARIOS"",""value"":""JUNTA DE POSESIONARIOS""},{""active"":true,""label"":""ORGANIZACION VECINAL"",""value"":""ORGANIZACION VECINAL""},{""active"":true,""label"":""EXPANSION URBANA"",""value"":""EXPANSION URBANA""},{""active"":true,""label"":""AGRUPACION FAMILIAR"",""value"":""AGRUPACION FAMILIAR""},{""active"":true,""label"":""COMUNIDAD CAMPESINA"",""value"":""COMUNIDAD CAMPESINA""},{""active"":true,""label"":""HABILITACION URBANA"",""value"":""HABILITACION URBANA""},{""active"":true,""label"":""AGRUPACION DE FAMILIAS"",""value"":""AGRUPACION DE FAMILIAS""},{""active"":true,""label"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS"",""value"":""ASOCIACION DE VIVIENDA DE PROPIETARIOS""},{""active"":true,""label"":""ASOCIACION DE POBLADORES"",""value"":""ASOCIACION DE POBLADORES""},{""active"":true,""label"":""JUNTA VECINAL"",""value"":""JUNTA VECINAL""},{""active"":true,""label"":""ASOCIACION DE POSESIONARIOS"",""value"":""ASOCIACION DE POSESIONARIOS""},{""active"":true,""label"":""AGRUPACION DE VIVIENDA"",""value"":""AGRUPACION DE VIVIENDA""},{""active"":true,""label"":""ANEXO COMUNAL"",""value"":""ANEXO COMUNAL""},{""active"":true,""label"":""AGRUPACION VECINAL"",""value"":""AGRUPACION VECINAL""},{""active"":true,""label"":""RESIDENCIAL"",""value"":""RESIDENCIAL""},{""active"":true,""label"":""LOTIZADORA"",""value"":""LOTIZADORA""},{""active"":true,""label"":""ASOCIACION DE VIVIENDA"",""value"":""ASOCIACION DE VIVIENDA""},{""active"":true,""label"":""EDIFICIO"",""value"":""EDIFICIO""},{""active"":true,""label"":""ASOCIACION DE PROPIETARIOS"",""value"":""ASOCIACION DE PROPIETARIOS""},{""active"":true,""label"":""ASOCIACION PRO VIVIENDA"",""value"":""ASOCIACION PRO VIVIENDA""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
